City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Chino Valley,90,US,1584215747,81,34.76,-112.45,59.0,4.7
Constitución,67,CL,1584215749,50,-35.33,-72.42,65.79,12.33
Tindivanam,61,IN,1584215751,90,12.25,79.65,72.99,4.79
Hamilton,90,US,1584215071,93,39.18,-84.53,39.99,6.93
Cururupu,100,BR,1584215510,93,-1.83,-44.87,78.39,3.02
Jaqué,62,PA,1584215758,56,7.52,-78.17,84.87,3.8
Umm Hājar,0,TD,1584215760,11,13.3,19.7,73.71,12.93
Pacific Grove,90,US,1584215762,67,36.62,-121.92,61.0,16.11
Linxia Chengguanzhen,100,CN,1584215764,37,35.6,103.21,33.21,1.01
Cuamba,96,MZ,1584215766,90,-14.8,36.54,68.67,3.38
Kočevje,100,SI,1584215768,65,45.64,14.86,50.0,5.82
Peniche,0,PT,1584215770,82,39.36,-9.38,62.6,6.93
Kijabe,40,KE,1584215773,82,-0.93,36.58,69.8,5.82
Mar del Plata,0,AR,1584215719,60,-38.0,-57.56,71.6,12.75
Jiwani,100,PK,1584215777,64,25.05,61.74,73.53,6.93
Colac,11,AU,1584215779,98,-38.33,143.58,53.01,1.99
Dolní Dobrouč,28,CZ,1584215781,41,49.99,16.5,39.2,8.05
Lompoc,90,US,1584215110,76,34.64,-120.46,59.0,9.17
Zapolyarnyy,55,RU,1584215785,72,69.42,30.81,10.4,21.92
Sibu,75,MY,1584215788,94,2.3,111.82,78.8,3.36
Lavrentiya,100,RU,1584215790,57,65.58,-171.0,20.07,4.83
Kikwit,100,CD,1584215792,95,-5.04,18.82,72.27,2.19
Santa Isabel Rio Negro,92,BR,1584215794,56,-0.41,-65.02,89.55,1.7
Hunucmá,75,MX,1584215796,38,21.02,-89.87,93.0,11.41
Gizo Government Station,99,SB,1584215798,86,-8.1,156.84,79.29,8.93
Narsaq,75,GL,1584215800,67,60.92,-46.05,23.0,3.36
Manokwari,100,ID,1584215803,77,-0.87,134.08,72.09,3.51
San Quintín,43,MX,1584215805,67,30.48,-115.95,62.91,12.06
Sola,54,VU,1584215807,76,-13.88,167.55,85.41,22.17
Caravelas,97,BR,1584215809,79,-17.71,-39.25,80.55,11.88
Moussoro,0,TD,1584215811,11,13.64,16.49,71.01,12.91
Bellevue,1,US,1584215620,86,47.61,-122.2,43.0,5.93
Zhangaözen,100,KZ,1584215815,50,43.3,52.8,55.53,12.24
Oussouye,29,SN,1584215818,21,12.48,-16.55,95.0,6.93
Pizarro,0,CO,1584215254,76,4.95,-77.37,80.37,7.49
Praia da Vitória,20,PT,1584215822,68,38.73,-27.07,64.4,7.85
Muros,7,ES,1584215824,81,42.78,-9.06,55.99,3.36
Buala,100,SB,1584215233,84,-8.14,159.59,81.63,10.18
La Orilla,47,MX,1584215829,57,17.98,-102.23,85.41,9.37
Honiara,40,SB,1584215831,94,-9.43,159.95,77.0,2.24
Kigoma,40,TZ,1584215833,88,-4.88,29.63,75.2,4.41
Polis,20,CY,1584215835,93,35.04,32.43,55.4,6.93
Kholm,100,RU,1584215837,86,59.27,32.85,23.67,13.6
Lensk,100,RU,1584215840,93,60.73,114.93,19.17,11.7
Lincoln,90,US,1584215842,80,40.8,-96.67,36.0,14.99
Tabou,67,CI,1584215844,93,4.42,-7.35,77.67,3.02
Chenghai,0,CN,1584215846,100,23.46,116.77,57.2,15.01
Tuy Hoa,100,VN,1584215849,83,13.08,109.3,78.21,10.07
Ancud,34,CL,1584215769,59,-41.87,-73.82,60.8,6.93
Taoudenni,0,ML,1584215808,10,22.68,-3.98,74.25,3.98
Belmonte,75,BR,1584215806,74,-15.86,-38.88,86.0,6.93
Garoowe,66,SO,1584215858,82,8.41,48.48,73.17,15.32
Abu Samrah,0,SY,1584215860,80,35.3,37.18,54.45,3.89
Maragogi,100,BR,1584215722,74,-9.01,-35.22,82.53,12.24
Berdigestyakh,100,RU,1584215865,97,62.1,126.7,-12.87,5.19
Praia,36,CV,1584215867,36,14.92,-23.51,80.6,19.46
Sai Buri,89,TH,1584215869,97,6.7,101.62,73.35,1.92
Petropavlovsk-Kamchatskiy,0,RU,1584215871,66,53.05,158.65,14.0,4.47
Beringovskiy,0,RU,1584215873,87,63.05,179.32,15.39,6.89
Quemado de Güines,40,CU,1584215875,55,22.79,-80.25,86.0,14.99
Inhambane,0,MZ,1584215873,81,-23.86,35.38,78.21,8.28
Fallon,90,US,1584215880,18,39.47,-118.78,62.6,33.33
Seddon,75,AU,1584215882,93,-37.81,144.89,57.99,4.7
Sibolga,41,ID,1584215884,95,1.74,98.78,71.55,3.31
Polasara,85,IN,1584215886,80,19.7,84.82,74.25,4.0
Saint-Augustin,97,CA,1584215888,79,51.23,-58.65,30.15,16.96
Tiarei,20,PF,1584215891,66,-17.53,-149.33,86.0,3.36
Uíge,100,AO,1584215893,96,-7.61,15.06,70.29,1.14
Mackenzie,1,CA,1584215895,35,55.3,-123.17,8.6,8.05
Shenjiamen,0,CN,1584215897,70,29.96,122.3,51.57,11.99
Nuuk,28,GL,1584215899,60,64.18,-51.72,10.0,11.99
Kloulklubed,75,PW,1584215901,88,7.04,134.26,75.2,11.07
Prince Rupert,1,CA,1584215903,26,54.32,-130.32,33.8,6.93
Ithaca,75,US,1584215906,64,42.44,-76.5,45.0,5.82
Laguna,75,US,1584215696,76,38.42,-121.42,55.99,12.75
Gamba,100,GA,1584215910,89,-2.65,10.0,79.65,3.58
Chihuahua,40,MX,1584215711,30,28.5,-106.0,82.0,5.82
Kozlovka,51,RU,1584215914,93,55.84,48.25,32.0,6.71
Mahanje,100,TZ,1584215916,96,-9.93,35.33,68.13,2.3
Pangnirtung,5,CA,1584215919,67,66.15,-65.71,-22.0,3.36
Naifaru,22,MV,1584215921,75,5.44,73.37,83.25,8.79
Vizinga,79,RU,1584215923,94,61.07,50.1,17.19,4.43
Halifax,90,CA,1584215926,52,44.65,-63.57,45.0,26.4
Magburaka,91,SL,1584215928,58,8.72,-11.95,83.25,6.98
San Juan,70,AR,1584215930,19,-31.54,-68.54,78.93,17.63
Marabu,75,MY,1584215932,100,4.41,114.01,77.0,2.24
Calvinia,0,ZA,1584215934,54,-31.47,19.78,60.75,4.68
Bukama,100,CD,1584215936,94,-9.2,25.85,70.29,0.6
High Level,75,CA,1584215386,53,58.52,-117.14,-2.2,8.05
Zhenlai,60,CN,1584215941,50,45.85,123.3,13.95,23.04
Vitória,40,BR,1584215873,74,-20.32,-40.34,84.2,10.29
Lorengau,100,PG,1584215876,78,-2.02,147.27,83.79,12.21
Kawambwa,67,ZM,1584215947,97,-9.79,29.08,63.81,2.28
Novyy Urgal,21,RU,1584215949,98,51.07,132.56,-8.55,1.74
Port Keats,17,AU,1584215951,82,-14.25,129.55,81.27,5.01
Sechura,95,PE,1584215954,86,-5.56,-80.82,75.15,16.62
Shitanjing,68,CN,1584215956,28,39.23,106.34,32.31,2.55
Aljezur,0,PT,1584215958,88,37.32,-8.8,59.0,4.88
Sept-Îles,75,CA,1584215960,71,50.2,-66.38,32.0,10.29
Olinda,75,BR,1584215962,66,-8.01,-34.86,86.0,10.29
Aksarka,65,RU,1584215964,86,66.56,67.8,0.99,13.73
Nadym,92,RU,1584215967,92,65.53,72.52,9.81,16.91
Bilma,0,NE,1584215969,16,18.69,12.92,66.69,6.73
Pontian Kecil,75,MY,1584215971,88,1.48,103.39,82.4,5.82
Cabedelo,20,BR,1584215973,74,-6.98,-34.83,84.2,11.41
Tirumala,0,IN,1584215975,93,13.68,79.35,68.85,1.16
Hailar,0,CN,1584215977,88,49.2,119.7,-3.33,9.42
Nurlat,100,RU,1584215980,98,54.43,50.81,32.49,6.13
Waipawa,0,NZ,1584215982,87,-41.41,175.52,55.4,3.36
St. George's,75,GD,1584215984,70,12.06,-61.75,84.2,9.89
Hadejia,66,NG,1584215986,15,12.45,10.04,71.19,10.27
Bathsheba,75,BB,1584215989,88,13.22,-59.52,77.0,17.22
Jiaojiang,0,CN,1584215991,91,28.68,121.44,46.0,5.75
Marzuq,19,YE,1584215993,64,14.4,46.47,65.25,4.56
Seoul,75,KR,1584215978,56,37.57,126.98,39.2,3.36
Itanagar,100,IN,1584215997,63,27.1,93.62,67.41,2.86
Nome,90,US,1584215999,99,64.5,-165.41,32.0,4.7
Rawson,0,AR,1584215912,64,-43.3,-65.1,61.65,12.82
Arrondissement de Bayonne,0,FR,1584215794,76,43.33,-1.42,51.01,3.36
Izumo,40,JP,1584216006,93,35.37,132.77,35.6,6.93
Ibrā’,100,OM,1584216008,34,22.69,58.53,63.45,0.72
Awjilah,94,LY,1584215810,37,29.11,21.29,63.99,0.47
Portland,90,US,1584215655,93,45.52,-122.68,39.99,8.05
Kaoma,100,ZM,1584216015,97,-14.78,24.8,67.05,3.62
Vanavara,100,RU,1584215966,93,60.34,102.28,30.69,10.36
Mayumba,100,GA,1584216019,82,-3.43,10.66,83.79,5.75
Shar,57,KZ,1584216021,78,49.59,81.05,26.19,10.36
Laas,90,IT,1584215975,50,46.62,10.7,41.0,6.93
Brigantine,1,US,1584216025,24,39.41,-74.36,57.99,12.75
Nosy Varika,54,MG,1584216028,90,-20.58,48.53,75.69,3.27
Aswān,0,EG,1584216030,17,24.09,32.91,75.2,13.87
Samarai,100,PG,1584216032,85,-10.62,150.67,77.13,4.97
Nichlaul,6,IN,1584216034,81,27.32,83.73,62.01,6.67
João Pinheiro,0,BR,1584216033,89,-17.74,-46.17,75.15,4.47
Medford,75,US,1584216039,37,42.33,-122.88,50.0,17.22
Thinadhoo,60,MV,1584216041,63,0.53,72.93,83.61,5.86
Lindi,75,TZ,1584216043,94,-10.0,39.72,77.0,5.82
Dongsheng,0,CN,1584216045,37,39.82,109.98,31.59,12.01
Tamale,83,GH,1584215827,41,9.4,-0.84,92.97,9.51
Sørland,100,NO,1584216050,96,67.67,12.69,35.01,23.78
Borogontsy,96,RU,1584216052,99,62.67,131.17,-16.29,3.11
Suwa,34,JP,1584216054,99,36.04,138.11,33.01,2.46
Óbidos,76,BR,1584216056,70,-1.92,-55.52,85.95,2.3
Verāval,98,IN,1584216058,26,20.9,70.37,67.23,10.54
Fagersta,1,SE,1584216060,54,60.0,15.79,32.0,8.05
Murlīganj,5,IN,1584216063,91,25.9,86.98,62.37,2.57
Comodoro Rivadavia,0,AR,1584216001,40,-45.87,-67.5,69.8,9.17
Riviere-au-Renard,75,CA,1584216067,55,49.0,-64.4,33.8,20.8
Sahuaripa,0,MX,1584216069,28,29.05,-109.23,71.73,10.51
Chopda,0,IN,1584216071,17,21.25,75.3,64.89,2.21
Conde,20,BR,1584216073,74,-7.26,-34.91,84.2,11.41
Siocon,7,PH,1584216076,80,7.71,122.14,79.11,9.82
Borås,76,SE,1584216078,74,57.72,12.94,37.0,11.41
Athabasca,100,CA,1584216080,79,54.72,-113.29,3.51,5.28
Richards Bay,0,ZA,1584216082,87,-28.78,32.04,77.31,7.52
Touros,40,BR,1584216084,70,-5.2,-35.46,84.2,10.29
Joniškis,0,LT,1584216086,85,56.24,23.62,24.8,11.41
Adrar,0,MR,1584216089,8,20.5,-10.07,70.47,3.89
Umluj,0,SA,1584216091,51,25.02,37.27,64.89,4.0
Wajir,87,KE,1584216093,51,1.75,40.06,86.85,23.35
Lida,2,BY,1584216095,63,53.88,25.3,26.73,12.62
Saint-Joseph,75,RE,1584216053,83,-21.37,55.62,78.8,14.99
Tiznit Province,41,MA,1584216099,85,29.58,-9.5,54.09,3.78
San Policarpo,90,PH,1584216101,73,12.18,125.51,76.05,4.97
Morón,90,AR,1584216104,94,-34.65,-58.62,73.4,10.29
Øksfjord,100,NO,1584216106,67,70.24,22.35,19.4,21.92
Naze,90,JP,1584216108,58,28.37,129.48,59.0,23.04
Pimenta Bueno,100,BR,1584216085,94,-11.67,-61.19,79.11,5.46
Tayoltita,33,MX,1584216112,21,24.08,-105.93,87.03,7.25
Kaniama,70,CD,1584216114,97,-7.57,24.18,67.05,2.08
Tilichiki,100,RU,1584216117,96,60.47,166.1,27.45,16.08
Monastyrshchina,35,RU,1584216119,62,54.35,31.84,25.47,14.58
Jilin,100,CN,1584216121,72,43.0,126.0,22.77,9.37
Waitati,100,NZ,1584216123,79,-45.75,170.57,57.99,9.95
Kangundo,40,KE,1584216125,82,-1.3,37.35,69.8,5.82
Port Moresby,20,PG,1584216127,100,-9.44,147.18,75.2,4.7
Coahuayana Viejo,40,MX,1584216130,69,18.73,-103.68,82.4,13.87
Bongandanga,55,CD,1584216132,66,1.5,21.05,77.67,1.32
Harrisonburg,90,US,1584216017,25,38.45,-78.87,59.0,3.49
Qasigiannguit,75,GL,1584216136,77,68.82,-51.19,3.2,11.41
Shelburne,20,CA,1584216138,64,44.08,-80.2,37.4,14.99
Kysyl-Syr,100,RU,1584216140,98,63.9,122.76,-3.15,6.44
Karratha,88,AU,1584216142,76,-20.74,116.85,83.07,14.34
Kalat,99,PK,1584216145,32,29.02,66.59,44.19,1.52
Moa,0,CU,1584216147,69,20.66,-74.94,75.51,9.44
Hsinchu,75,TW,1584216005,76,24.8,120.97,57.99,10.29
